"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"TUR","CPI","FOOD","AGRWTH","A","2018",17.96241,
"TUR","CPI","FOOD","AGRWTH","A","2019",19.53582,
"TUR","CPI","FOOD","AGRWTH","A","2020",13.849,
"TUR","CPI","FOOD","AGRWTH","A","2021",24.27593,
"TUR","CPI","FOOD","AGRWTH","A","2022",85.64528,
"TUR","CPI","TOT","AGRWTH","A","2018",16.33246,
"TUR","CPI","TOT","AGRWTH","A","2019",15.17682,
"TUR","CPI","TOT","AGRWTH","A","2020",12.27896,
"TUR","CPI","TOT","AGRWTH","A","2021",19.59649,
"TUR","CPI","TOT","AGRWTH","A","2022",72.30884,
"GBR","CPI","FOOD","AGRWTH","A","2018",2.1,
"GBR","CPI","FOOD","AGRWTH","A","2019",1.4,
"GBR","CPI","FOOD","AGRWTH","A","2020",0.7,
"GBR","CPI","FOOD","AGRWTH","A","2021",0.3,
"GBR","CPI","FOOD","AGRWTH","A","2022",10.9,
"GBR","CPI","TOT","AGRWTH","A","2018",2.3,
"GBR","CPI","TOT","AGRWTH","A","2019",1.7,
"GBR","CPI","TOT","AGRWTH","A","2020",1,
"GBR","CPI","TOT","AGRWTH","A","2021",2.5,
"GBR","CPI","TOT","AGRWTH","A","2022",7.9,
"USA","CPI","FOOD","AGRWTH","A","2018",0.4555647,
"USA","CPI","FOOD","AGRWTH","A","2019",0.8851313,
"USA","CPI","FOOD","AGRWTH","A","2020",3.50503,
"USA","CPI","FOOD","AGRWTH","A","2021",3.469165,
"USA","CPI","FOOD","AGRWTH","A","2022",11.43888,
"USA","CPI","TOT","AGRWTH","A","2018",2.442583,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"USA","CPI","TOT","AGRWTH","A","2020",1.233584,
"USA","CPI","TOT","AGRWTH","A","2021",4.697859,
"USA","CPI","TOT","AGRWTH","A","2022",8.0028,
"OECD","CPI","FOOD","AGRWTH","A","2018",1.878794,
"OECD","CPI","FOOD","AGRWTH","A","2019",2.077503,
"OECD","CPI","FOOD","AGRWTH","A","2020",3.417134,
"OECD","CPI","FOOD","AGRWTH","A","2021",3.468491,
"OECD","CPI","FOOD","AGRWTH","A","2022",13.15279,
"OECD","CPI","TOT","AGRWTH","A","2018",2.60716,
"OECD","CPI","TOT","AGRWTH","A","2019",2.068703,
"OECD","CPI","TOT","AGRWTH","A","2020",1.346726,
"OECD","CPI","TOT","AGRWTH","A","2021",3.986406,
"OECD","CPI","TOT","AGRWTH","A","2022",9.549949,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.05519,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2019",0.7847481,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2020",0.8851095,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2021",0.9562704,
"FRA","CPI","TOT_FOODENRG","AGRWTH","A","2022",2.779273,
"CAN","CPI","TOT_FOODENRG","AGRWTH","A","2018",2.083973,
"CAN","CPI","TOT_FOODENRG","AGRWTH","A","2019",2.089541,
"CAN","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.187,
"CAN","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.397251,
"CAN","CPI","TOT_FOODENRG","AGRWTH","A","2022",5.079893,
"ITA","CPI","TOT_FOODENRG","AGRWTH","A","2018",0.5977152,
"ITA","CPI","TOT_FOODENRG","AGRWTH","A","2019",0.5725608,
"ITA","CPI","TOT_FOODENRG","AGRWTH","A","2020",0.4921978,
"ITA","CPI","TOT_FOODENRG","AGRWTH","A","2021",0.7966448,
"ITA","CPI","TOT_FOODENRG","AGRWTH","A","2022",2.932897,
"DEU","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.294732,
"DEU","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.477561,
"DEU","CPI","TOT_FOODENRG","AGRWTH","A","2020",0.287277,
"DEU","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.334659,
"DEU","CPI","TOT_FOODENRG","AGRWTH","A","2022",3.92777,
"AUT","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.812324,
"AUT","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.653481,
"AUT","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.899783,
"AUT","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.149821,
"AUT","CPI","TOT_FOODENRG","AGRWTH","A","2022",5.489844,
"USA","CPI","TOT_FOODENRG","AGRWTH","A","2018",2.139733,
"USA","CPI","TOT_FOODENRG","AGRWTH","A","2019",2.19197,
"USA","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.702817,
"USA","CPI","TOT_FOODENRG","AGRWTH","A","2021",3.572036,
"USA","CPI","TOT_FOODENRG","AGRWTH","A","2022",6.150387,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2018",2.117828,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2019",2.141153,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.693934,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.954441,
"OECD","CPI","TOT_FOODENRG","AGRWTH","A","2022",6.750731,
"GBR","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.9,
"GBR","CPI","TOT_FOODENRG","AGRWTH","A","2019",1.7,
"GBR","CPI","TOT_FOODENRG","AGRWTH","A","2020",1.5,
"GBR","CPI","TOT_FOODENRG","AGRWTH","A","2021",2.3,
"GBR","CPI","TOT_FOODENRG","AGRWTH","A","2022",5.3,
"NLD","CPI","TOT_FOODENRG","AGRWTH","A","2018",1.292799,
"NLD","CPI","TOT_FOODENRG","AGRWTH","A","2019",2.005146,
"NLD","CPI","TOT_FOODENRG","AGRWTH","A","2020",2.125606,
"NLD","CPI","TOT_FOODENRG","AGRWTH","A","2021",1.917532,
"NLD","CPI","TOT_FOODENRG","AGRWTH","A","2022",4.249225,
"TUR","CPI","TOT_FOODENRG","AGRWTH","A","2018",15.26311,
"TUR","CPI","TOT_FOODENRG","AGRWTH","A","2019",13.89549,
"TUR","CPI","TOT_FOODENRG","AGRWTH","A","2020",12.38562,
"TUR","CPI","TOT_FOODENRG","AGRWTH","A","2021",17.44253,
"TUR","CPI","TOT_FOODENRG","AGRWTH","A","2022",58.60038,
"GRC","CPI","TOT_FOODENRG","AGRWTH","A","2018",0.1724595,
"GRC","CPI","TOT_FOODENRG","AGRWTH","A","2019",0.5333833,
"GRC","CPI","TOT_FOODENRG","AGRWTH","A","2020",-0.6744353,
"GRC","CPI","TOT_FOODENRG","AGRWTH","A","2021",-0.6244386,
"GRC","CPI","TOT_FOODENRG","AGRWTH","A","2022",3.33849,
